"","x"
"11479","wheres my apology"
"11480","thank you but it is sad that she couldnt talka real person amp kept getting disconnected by an automated msg"
"11481","flight today showing on time online not able to check in called amp told was cancelled flightled put on hold over an hr ago help"
"11482","new tag line but we got you there alive"
"11483","days in a row i call and still cant get anyone on the phone do you actually have any employees"
"11484","announced that people going to fl via charlotte would have to go to a different plane amp gate but it was a direct flight"
"11485","just realized my advantage number wasnt used for my flighthow do i get my ff miles"
"11486","does your company see passengers as customers or just"
"11487","is there a way to have someone contact me when you have an agent available need help flight booking problems an award flight"
"11488","flight is delayedhours no reason given sure love flying with your airline"
"11489","so we got her home now we just need her bag is there a direct desk number for savannah"
"11490","i hope so last i spoke to the baggage team they werent sure what city my bag was in"
"11491","thank you busy times"
"11492","my flight was delayed and rerouted and not so much as a sorry for your inconvenience from the checkin agent"
"11493","min delay thanks to maintenance issues thanks for wasting a day"
"11494","not one to complain much but reallyhour minutes and still nothing agents or agent ‚"
"11495","thanks"
"11496","thanks for crappy hotel with no food and a taxi bill followed by being on standby for your cancelled flightlation"
"11497","through can you confirm that i havent been charged"
"11498","hey i booked a flight isabelle gramp boston to lax and it said that it charged my credit card but the transaction didnt go"
"11499","you are amazing follow me back pleaseˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôèˇôè"
"11500","ive been on hold with your divident miles service desk forminutes and thats after being hung up on the first time"
"11501","is useless airways daytrying to get home on standby as a result of their cancelled flightlation"
"11502","this is how vacations get cancelled flightled been on hold ‚forminutes still havent talked to anyone"
"11503","for a response indays no thanks"
"11504","will never travel with you again this is insanity storms are inevitable but making us hold to just add a lap child"
"11505","any word on flight getting out of dfw in the near future stuck on plane at gate for over an hour"
"11506","thanks so much"
"11507","i recently moved and got a new license and when i booked my flight months ago i used my old license do i need to change that"
"11508","no this is a systemic problem mail comes from but usairways spf record disallows it dm me for more detail"
